Date,Open,High,Low,Close,Adj Close,Volume
2022-05-01,30.280001,36.430000,21.650000,29.940001,29.940001,875548700
2022-06-01,29.840000,37.480000,23.879999,32.860001,32.860001,608038800
2022-07-01,34.060001,44.500000,33.900002,42.930000,42.930000,579915200
2022-08-01,42.369999,53.880001,37.790001,39.110001,39.110001,494198100
2022-09-01,38.580002,47.049999,33.564999,35.840000,35.840000,403788500
2022-10-01,34.889999,47.669998,33.200001,44.740002,44.740002,427394000
2022-11-01,45.509998,46.939999,29.459999,31.770000,31.770000,324761500
2022-12-01,32.130001,35.369999,25.320000,28.459999,28.459999,293007300
2023-01-01,28.910000,38.299999,27.240000,37.209999,37.209999,266385700
2023-02-01,37.080002,46.049999,33.680000,36.639999,36.639999,274046500
2023-03-01,37.270000,45.490002,36.509998,44.980000,44.980000,250901300
2023-04-01,44.450001,47.650002,34.520000,35.599998,35.599998,196166500
2023-04-28,35.049999,35.740002,34.520000,35.599998,35.599998,6750192
