Date,Open,High,Low,Close,Adj Close,Volume
2022-04-25,31.750000,33.529999,30.610001,30.650000,30.650000,19191000
2022-05-02,30.280001,35.060001,27.330000,27.809999,27.809999,106732600
2022-05-09,27.150000,33.189999,21.650000,32.970001,32.970001,339851300
2022-05-16,32.230000,36.430000,29.500000,31.600000,31.600000,247935600
2022-05-23,31.000000,32.090000,26.309999,31.809999,31.809999,136447900
2022-05-30,32.560001,33.898998,28.190001,30.000000,30.000000,123917500
2022-06-06,30.950001,34.250000,27.670000,27.760000,27.760000,106823400
2022-06-13,26.110001,29.290001,23.879999,26.870001,26.870001,150313600
2022-06-20,27.570000,36.889999,27.400000,36.419998,36.419998,167607500
2022-06-27,36.000000,37.480000,31.830000,35.070000,35.070000,136712700
2022-07-04,34.549999,44.500000,33.900002,41.250000,41.250000,188695500
2022-07-11,39.950001,40.459999,35.779999,39.770000,39.770000,149789700
2022-07-18,40.424999,42.740002,38.160000,39.400002,39.400002,120077000
2022-07-25,38.849998,43.799999,37.740002,42.930000,42.930000,88598400
2022-08-01,42.369999,49.910000,41.680000,49.240002,49.240002,95224400
2022-08-08,48.130001,53.880001,42.709999,51.150002,51.150002,196377200
2022-08-15,50.470001,52.150002,41.939999,42.680000,42.680000,94601500
2022-08-22,41.840000,43.500000,39.435001,39.560001,39.560001,68985400
2022-08-29,38.639999,40.790001,36.560001,37.939999,37.939999,65886400
2022-09-05,37.570000,45.770000,35.650002,45.529999,45.529999,70513500
2022-09-12,44.330002,47.049999,38.810001,39.500000,39.500000,136887200
2022-09-19,38.959999,39.040001,33.564999,35.540001,35.540001,79323200
2022-09-26,36.279999,38.590000,34.812000,35.840000,35.840000,90187800
2022-10-03,34.889999,39.810001,33.605000,34.820000,34.820000,90484300
2022-10-10,34.705002,39.189999,33.200001,35.560001,35.560001,102452800
2022-10-17,41.200001,44.299999,40.509998,42.810001,42.810001,155453200
2022-10-24,41.799999,47.669998,40.410000,45.779999,45.779999,68678200
2022-10-31,45.480000,46.939999,39.544998,40.580002,40.580002,59415800
2022-11-07,39.959999,40.950001,30.681999,36.740002,36.740002,124823400
2022-11-14,36.150002,38.680000,31.080000,31.719999,31.719999,67717900
2022-11-21,31.370001,32.189999,29.459999,31.760000,31.760000,43811700
2022-11-28,31.309999,34.014999,29.670000,33.990002,33.990002,71095400
2022-12-05,33.689999,34.695000,30.049999,31.650000,31.650000,46708200
2022-12-12,31.840000,35.369999,26.600000,27.620001,27.620001,105119400
2022-12-19,27.590000,28.389999,25.320000,26.750000,26.750000,61183700
2022-12-26,26.219999,28.540001,25.459999,28.459999,28.459999,48218800
2023-01-02,28.910000,30.676001,27.240000,28.879999,28.879999,53379400
2023-01-09,29.410000,33.500000,29.410000,33.209999,33.209999,61925800
2023-01-16,38.070000,38.299999,32.740002,35.380001,35.380001,85209400
2023-01-23,35.500000,38.134998,33.883999,37.750000,37.750000,47650500
2023-01-30,36.744999,41.575001,35.349998,38.540001,38.540001,61068900
2023-02-06,37.700001,39.630001,34.570000,34.820000,34.820000,46022300
2023-02-13,34.610001,46.049999,33.680000,40.880001,40.880001,114925400
2023-02-20,39.310001,40.029999,35.814999,36.959999,36.959999,50845400
2023-02-27,37.189999,41.939999,36.340000,41.369999,41.369999,59094500
2023-03-06,41.619999,42.650002,39.150002,40.049999,40.049999,50450200
2023-03-13,38.939999,45.470001,38.810001,43.689999,43.689999,75252500
2023-03-20,43.369999,45.490002,41.105000,43.430000,43.430000,50191900
2023-03-27,43.700001,45.105000,41.459999,44.980000,44.980000,35317300
2023-04-03,44.450001,47.650002,44.273998,46.200001,46.200001,40833400
2023-04-10,45.330002,47.650002,44.439999,45.700001,45.700001,38511400
2023-04-17,40.040001,41.990002,39.099998,40.700001,40.700001,70529600
2023-04-24,40.389999,40.790001,34.520000,35.599998,35.599998,46292100
2023-04-28,35.049999,35.740002,34.520000,35.599998,35.599998,6750192
